Election,Election Date,Precinct Code,Precinct Description,Political Party,Voter Count
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2620,PHILA WD 26 DIV 20,DEMOCRATIC,23
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2620,PHILA WD 26 DIV 20,REPUBLICAN,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2621,PHILA WD 26 DIV 21,REPUBLICAN,26
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2621,PHILA WD 26 DIV 21,NO AFFILIATION,3
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2621,PHILA WD 26 DIV 21,DEMOCRATIC,95
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2622,PHILA WD 26 DIV 22,GREEN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2622,PHILA WD 26 DIV 22,LIBERAL,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2622,PHILA WD 26 DIV 22,DEMOCRATIC,105
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2622,PHILA WD 26 DIV 22,NO AFFILIATION,4
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2622,PHILA WD 26 DIV 22,LIBERTARIAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2622,PHILA WD 26 DIV 22,REPUBLICAN,13
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2623,PHILA WD 26 DIV 23,REPUBLICAN,24
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2623,PHILA WD 26 DIV 23,LIBERTARIAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2623,PHILA WD 26 DIV 23,NO AFFILIATION,5
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2623,PHILA WD 26 DIV 23,DEMOCRATIC,315
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2701,PHILA WD 27 DIV 01,LIBERTARIAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2701,PHILA WD 27 DIV 01,REPUBLICAN,5
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2701,PHILA WD 27 DIV 01,DEMOCRATIC,65
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2701,PHILA WD 27 DIV 01,NO AFFILIATION,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2702,PHILA WD 27 DIV 02,NO AFFILIATION,11
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2702,PHILA WD 27 DIV 02,DEMOCRATIC,127
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2702,PHILA WD 27 DIV 02,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2702,PHILA WD 27 DIV 02,REPUBLICAN,7
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2702,PHILA WD 27 DIV 02,LIBERTARIAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2703,PHILA WD 27 DIV 03,REPUBLICAN,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2703,PHILA WD 27 DIV 03,DEMOCRATIC,17
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2703,PHILA WD 27 DIV 03,NO AFFILIATION,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2704,PHILA WD 27 DIV 04,NO AFFILIATION,3
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2704,PHILA WD 27 DIV 04,DEMOCRATIC,116
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2704,PHILA WD 27 DIV 04,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2704,PHILA WD 27 DIV 04,REPUBLICAN,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2705,PHILA WD 27 DIV 05,DEMOCRATIC,49
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2705,PHILA WD 27 DIV 05,NO AFFILIATION,4
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2705,PHILA WD 27 DIV 05,REPUBLICAN,2
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2705,PHILA WD 27 DIV 05,NO PARTY,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2705,PHILA WD 27 DIV 05,INDEPENDENT,1
2015 MUNICIPAL PRIMARY,05/19/2015 12:00:00 AM,2706,PHILA WD 27 DIV 06,GREEN,1
